title,author
The Last Star,Rick Yancey
Intensity,Dean Koontz
Going Too Far,Jennifer Echols
The Guard,Kiera Cass
"Alex Cross, Run",James Patterson
Need,Carrie Jones
"Screw It, Let's Do It",Richard Branson
The Codex,Douglas Preston
The Revenge of Seven,Pittacus Lore
King Solomon's Mines,H. Rider Haggard
Good Grief,Lolly Winston
Extras,Scott Westerfeld
The Dharma Bums,Jack Kerouac
Life after God,Douglas Coupland
London Bridges,James Patterson
The Lost Years of Merlin,T.A. Barron
Fish In A Tree,Lynda Mullaly Hunt
Darkest Fear,Harlan Coben
A Long Way From Chicago,Richard Peck
Bearing an Hourglass,Piers Anthony
The Life We Bury,Allen Eskens
The Winter Rose,Jennifer Donnelly
Moscow Rules,Daniel Silva
The Once and Future King,T.H. White
Ashfall,Mike Mullin
Equus : a play,Peter Shaffer
Warm Bodies,Isaac Marion
Harvesting the Heart,Jodi Picoult
Pale Demon,Kim Harrison
Consent to Kill,Vince Flynn
I'll Give You the Sun,Jandy Nelson
Reaper Man,Terry Pratchett
Sing You Home,Jodi Picoult
The Brooklyn Follies,Paul Auster
Plague,Michael  Grant
The Keep ,F. Paul Wilson
People of the Book,Geraldine Brooks
Fairest,Marissa Meyer
Spells,Aprilynne Pike
The Auschwitz Escape,Joel C. Rosenberg
The Survivors Club,Lisa Gardner
The Vacationers,Emma Straub
Imajica,Clive Barker
Pop Goes the Weasel,James Patterson
Lord Brocktree,Brian Jacques
Suspect,Robert Crais
Whispers,Dean Koontz
In Cold Blood,Truman Capote
Tar Baby,Toni Morrison
What Alice Forgot,Liane Moriarty
Wild Fire,Nelson DeMille
Area 7,Matthew Reilly
While I Was Gone,Sue Miller
The Painter,Peter Heller
Fool's Quest,Robin Hobb
Ceremony,Leslie Marmon Silko
Black Order,James Rollins
Siege of Darkness,R.A. Salvatore
On the Fence,Kasie West
Princess in the Spotlight,Meg Cabot
Champion,Marie Lu
Canada,Richard Ford
Stone Soup,Jon J. Muth
Rebel Heart,Moira Young
I Was So Mad (Look-Look),Mercer Mayer
Dragon Prince,Melanie Rawn
The Bronze Bow,Elizabeth George Speare
Red,Ted Dekker
Miles to Go,Richard Paul Evans
After We Fell,Anna Todd
City of Bones,Michael Connelly
Dark Prince,Christine Feehan
Twenty Boy Summer,Sarah Ockler
Nevermore,James Patterson
Contact,Carl Sagan
Class A (Cherub #2),Robert Muchamore
The Taking,Dean Koontz
Dreams from My Father,Barack Obama
Austenland,Shannon Hale
Wondrous Strange,Lesley Livingston
White Cat,Holly Black
First Drop of Crimson,Jeaniene Frost
Ricochet,Sandra Brown
Back on Blossom Street,Debbie Macomber
When She Woke,Hillary Jordan
Mister B. Gone,Clive Barker
Shattered,"K.R. Dwyer, Dean Koontz"
The House On Tradd Street,Karen   White
Dorothy Must Die,Danielle  Paige
The Shelters of Stone,Jean M. Auel
Perfect,Sara Shepard
Rebel Angels,Libba Bray
Visions of Sugar Plums,Janet Evanovich
The Bees,Laline Paull
Light in August,William Faulkner
Blood Promise,Richelle Mead
Heart of Darkness,Joseph Conrad
